id,Country,Location
EBOV-EM_COY_2015_023747--GIN-Dubreka,Guinea,Dubreka - Guinea
EBOV-EM_FORE_2015-1971--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_FORE_2015_1023--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_FORE_2015_1024--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_FORE_2015_1047--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_FORE_2015_1076--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_FORE_2015_1079--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_FORE_2015_1118--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_FORE_2015_1140--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_FORE_2015_1313--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_FORE_2015_1415--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_FORE_2015_1437--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_FORE_2015_2781--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_FORE_2015_2878--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_FORE_2015_695--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_FORE_2015_696--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_FORE_2015_697--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_FORE_2015_781--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_FORE_2015_816--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_FORE_2015_875--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_FORE_2015_896--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_FORE_2015_934--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_GUI_2015_004674--GIN-Siguiri,Guinea,Siguiri - Guinea
EBOV-EM_FORE_2015-2417--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_FORE_2015-2531--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_FORE_2015-2533--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_FORE_2015-2547--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-GUI_CTS_2015_0050--GIN-Boke,Guinea,Boke - Guinea
EBOV-GUI_CTS_2015_0051--GIN-Boke,Guinea,Boke - Guinea
EBOV-GUI_CTS_2015_0052--GIN-Boke,Guinea,Boke - Guinea
EBOV-IPDPFHGINSP_GUI_2015_4786--GIN-Conakry,Guinea,Conakry - Guinea
EBOV-IPDPFHGINSP_GUI_2015_4909--GIN-Conakry,Guinea,Conakry - Guinea
EBOV-IPDPFHGINSP_GUI_2015_5038--GIN-Conakry,Guinea,Conakry - Guinea
EBOV-IPDPFHGINSP_GUI_2015_5117--GIN-Dubreka,Guinea,Dubreka - Guinea
EBOV-IPDPFHGINSP_GUI_2015_5339--GIN-Conakry,Guinea,Conakry - Guinea
EBOV-IPDPFHGINSP_GUI_2015_6505--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-IPDPFHGINSP_GUI_2015_6899--GIN-Boke,Guinea,Boke - Guinea
EBOV-IPDPFHGINSP_GUI_2015_7070--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-KG12--GIN-Boke,Guinea,Boke - Guinea
EBOV-KG167--GIN-Boke,Guinea,Boke - Guinea
EBOV-KG168--GIN-Boke,Guinea,Boke - Guinea
EBOV-KG35--GIN-Boke,Guinea,Boke - Guinea
EBOV-KG45--GIN-Boke,Guinea,Boke - Guinea
EBOV-KG80--GIN-Boke,Guinea,Boke - Guinea
EBOV-KG87--GIN-Boke,Guinea,Boke - Guinea
EBOV-KG88--GIN-Boke,Guinea,Boke - Guinea
EBOV-KG90--GIN-Boke,Guinea,Boke - Guinea
EBOV-KG91--GIN-Boke,Guinea,Boke - Guinea
EBOV-REDC-GUI-2015-00402--GIN-Conakry,Guinea,Conakry - Guinea
EBOV-REDC-GUI-2015-00497--GIN-Conakry,Guinea,Conakry - Guinea
EBOV-REDC-GUI-2015-00502--GIN-Conakry,Guinea,Conakry - Guinea
EBOV-REDC_GUI_2015_00483--GIN-Conakry,Guinea,Conakry - Guinea
